HIP,RAdeg,DEdeg,Vmag,Plx,abs_mag,dist (pc),x,y,z
70890,217.44894751,-62.68135207,11.01,772.33,15.449014523417619,1.2947833180117307,-0.3643493837641363,-0.27905967024141265,-0.8884679099412922
71681,219.91412833,-60.83947139,1.35,742.12,5.702370679522524,1.3474909718104886,-0.37373041531301826,-0.31264374773262643,-0.8732579594104235
71683,219.92041034,-60.83514707,-0.01,742.12,4.342370679522524,1.3474909718104886,-0.373746680404461,-0.3127270160560544,-0.8732211817834712
87937,269.45402305,4.66828815,9.54,549.01,13.237901275121734,1.821460446986394,-0.009497339721383717,-0.9966373343061307,0.08138688103979982
54035,165.83588409,35.98146424,7.49,392.4,10.458644993539554,2.5484199796126408,-0.7846062350703376,0.19801312341950483,0.587523496417294
32349,101.28854105,-16.71314306,-1.44,379.21,1.4543989071428474,2.637061258933045,-0.18748086510940004,0.9392276286017377,-0.28758022687414947
92403,282.45398321,-23.83576457,10.37,336.48,13.004796276711225,2.971944840703756,0.19726166606633588,-0.8931840882138471,-0.4041163442157867
16537,53.23509009,-9.45830584,3.72,310.75,6.182055686568412,3.2180209171359597,0.5903962975671008,0.7902075138244348,-0.16432984182571742
114046,346.44652092,-35.8562971,7.35,303.9,9.763653500399712,3.2905561039815727,0.7879178550819161,-0.18994033564764454,-0.5857543192646322
57548,176.93351286,0.80752617,11.12,299.58,13.502564082193766,3.3380065424928236,-0.9984689543117424,0.05348943690862021,0.014093523860777286
104214,316.71181258,38.74149446,5.2,287.13,7.490392854746412,3.4827430083934106,0.5677565700724572,-0.5348057686340836,0.6258076916875233
37279,114.82724194,5.22750767,0.4,285.93,2.681298621332361,3.4973594935823438,-0.4181372561389118,0.903803118275539,0.09111069324746585
104217,316.71746843,38.73441392,6.05,285.42,8.327422009017727,3.503608716978486,0.5678656549443789,-0.5348027385195689,0.6257112982890441
91772,280.70212389999995,59.62236064,9.7,284.48,11.970258696450598,3.5151856017997742,0.09390949149104375,-0.4969009757289323,0.8627110916914935
91768,280.70090582,59.62601593,8.94,280.28,11.17796054410769,3.5678607107178526,0.09388870778928303,-0.4968488899513406,0.8627433518166219
1475,4.58559067,44.02195597,8.09,280.27,10.327883067614607,3.5679880115602813,0.7167718088831025,0.05748866605597092,0.6949339733136884
108870,330.82266498,-56.77980602,4.69,275.76,6.892656351999457,3.626341746446185,0.4783431298801248,-0.2670886685861566,-0.8365712720440264
8102,26.02136441,-15.93955597,3.49,274.17,5.680099660231618,3.647372068424698,0.8640799274631927,0.42183885516977776,-0.2746231221588137
5643,18.12459256,-17.00053959,12.1,269.05,14.249164981912566,3.71678126742241,0.9088524919991082,0.2974906178748355,-0.29238071082658557
36208,111.85068549,5.23476432,9.84,263.26,11.941924384802036,3.798526171845324,-0.37063673808022285,0.924285806119805,0.09123681817509105
24186,77.89672045,-45.00448677,8.86,255.26,10.894913824504805,3.9175742380318113,0.14825067118106613,0.6913345279858398,-0.7071621517791796
105090,319.32379676,-38.86457451,6.69,253.37,8.708775957122292,3.946797174093223,0.5905179278225783,-0.5074989872778675,-0.6274817565731032
110893,337.00174003,57.69702005,9.59,249.52,11.575526808745437,4.007694773966015,0.49192073868449565,-0.20879033436499275,0.8452340404455174
30920,97.345813,-2.81247539,11.12,242.89,13.04704817439166,4.1170900407591935,-0.12770366701062932,0.9905978895943688,-0.04906724531926688
72511,222.38963876,-26.1060337,11.72,235.24,13.57755585365,4.250977724876721,-0.663228532099476,-0.6053909684242915,-0.4400337368423844
80824,247.57547824,-12.65971367,10.1,234.51,11.950806833383904,4.2642104814293615,-0.3721921683306681,-0.9019100766375784,-0.21916022333651936
439,1.33455564,-37.3516811,8.56,229.33,10.362304355250892,4.360528496053721,0.7947109243816501,0.018514065063229234,-0.6067056749885382
15689,50.52321876,-13.27811998,12.16,227.45,13.944429705829869,4.396570674873601,0.6187693328952074,0.751247289642559,-0.22967808444239732
3829,12.28823784,5.39519773,12.37,226.95,14.14965093539434,4.406256884776382,0.9727606332764873,0.2118869374344792,0.09402486954080001
72509,222.38618849,-26.11117761,12.07,221.8,13.799807709065707,4.508566275924255,-0.6632358045930421,-0.605324394645096,-0.4401143541778296
86162,264.1100265,68.34222717,9.15,220.85,10.87048701797205,4.527960153950646,-0.037872564602135804,-0.36711352814147974,0.9294048236941597
85523,262.16440365,-46.89305173,9.38,220.43,11.096353503254004,4.53658757882321,-0.093163516766684,-0.6769819890437219,-0.7300794105123565
114110,346.66203219,-14.87239655,12.24,216.52,13.91749009209512,4.61851099205616,0.9404296859014194,-0.22296627277934344,-0.2566671912774303
57367,176.41359792,-64.84067419,11.5,216.4,13.176286282172661,4.621072088724582,-0.4243042619047603,0.026593864881799403,-0.9051290845399375
113020,343.31731628,-14.26205842,10.16,212.69,11.798735356262279,4.70167849922422,0.928385655985101,-0.27822323546257166,-0.2463572710716131
54211,166.38385827,43.52448449,8.82,206.94,10.39922222375517,4.8323185464385805,-0.7047015635649603,0.17069541765007834,0.6886644906646237
49908,152.84734577,49.45546425,6.6,205.22,8.161098416369864,4.87281941331254,-0.5784005858245519,0.2966535853138225,0.7599009229092104
82725,253.6339477,-62.40374141,11.72,203.01,13.257587156015658,4.925865720900448,-0.13052801426630137,-0.44446826107488924,-0.8862338305372687
85605,262.40078667,24.65322144,11.39,202.69,12.924161613421875,4.9336425082638495,-0.1201887241850339,-0.9008669405249294,0.4171251922960623
106440,323.39173448,-49.007018,8.66,202.53,10.192446813542414,4.9375401175134535,0.5265650087165242,-0.3911795598376151,-0.7547899333990992
86214,264.26766824,-44.31693542,10.94,198.32,12.426832568798824,5.042355788624442,-0.07146365502048184,-0.7119083805969589,-0.6986267985462118
19849,63.8234923,-7.64455846,4.43,198.24,5.915956445159942,5.044390637610976,0.43721725994879707,0.8894632251482165,-0.13302721041876772
112460,341.70961216,44.33510774,10.29,198.07,11.774093507902446,5.048720149442117,0.6791281486267744,-0.2244737736442556,0.6988536919045912
88601,271.36338682,2.50243928,4.03,196.62,5.498138458830098,5.085952598921775,0.023770653224036615,-0.99876353195509,0.04366192027266369
97649,297.6945086,8.86738491,0.76,194.44,2.2039280620125226,5.142974696564493,0.45920230149506874,-0.8748552156346977,0.15414797429223187
1242,3.86528051,-16.13230661,11.49,191.86,12.904922200669773,5.212133847597208,0.9584375178123962,0.06475625588970252,-0.2778563509671143
57544,176.91319098,78.68999275,10.8,185.48,12.141485436118836,5.391416864351952,-0.1958328669890586,0.010560711458681446,0.980580419741457
67155,206.42792982,14.89505746,8.46,184.13,9.785622765795905,5.430945527616358,-0.8654047188608144,-0.43011656973603174,0.25704942912199624
103039,313.13835215,-16.9748128,11.41,182.15,12.712145877889672,5.489980785067253,0.6539730249910928,-0.6979138410862358,-0.2919512853272888
21088,67.79185895,58.98205252,10.82,181.36,12.112707535592305,5.5138950154389015,0.19477162196984055,0.477079507781583,0.8570059267765422
33226,103.70610465,33.26914569,9.89,181.32,11.182228551933253,5.515111405250387,-0.1981076073385312,0.8122939279385211,0.5485726483783265
53020,162.71890469999997,6.81011677,11.64,177.46,12.885502385914615,5.635072692437731,-0.9481219414676373,0.294963955135643,0.11857929531910949
25878,82.86229396,-3.67214214,7.97,175.72,9.194105972966414,5.690871841566128,0.1239993883538228,0.9902131691316318,-0.06404710271486341
82817,253.87184972,-8.33420783,9.02,174.23,10.22561468311425,5.73953968891695,-0.2748530785677764,-0.950497850446166,-0.14494696098585022
96100,293.08577692,69.66540172,4.67,173.41,5.865370691179469,5.766680122253617,0.13625855621801622,-0.3196735858728771,0.9376792651821613
29295,92.64458964,-21.86290752,8.15,173.19,9.342614061091467,5.774005427565098,-0.042821876845229034,0.9270890906626786,-0.37238703634484865
26857,85.53363564,12.493155,11.56,172.78,12.747467348343642,5.787706910522053,0.07602993141874008,0.9733569845537574,0.216322976470088
86990,266.64766164,-57.31575508,10.75,172.08,11.92865198689703,5.811250581125059,-0.031577541614611127,-0.5390848488682286,-0.8416593043424974
94761,289.23164974,5.17214064,9.12,170.26,10.275563145281762,5.873370139786206,0.32804710888176725,-0.9403501328723268,0.09014833310334298
73184,224.36396501,-21.411280899999998,5.72,169.32,6.863541299009862,5.905976848570753,-0.6655721403241712,-0.6509568767749513,-0.3650600917707967
37766,116.16823269,3.55354943,11.19,168.59,12.324159053293604,5.9315499139925265,-0.44016038113535283,0.8957773981272964,0.061981383358812606
76074,233.05768961,-41.27308564,9.31,168.52,10.443257252274053,5.93401376691194,-0.4517039851835007,-0.6006888640090926,-0.6596486931881316
3821,12.27125262,57.81654770000001,3.46,167.99,4.586417150472217,5.952735281862013,0.5204624696866738,0.11320565084522548,0.8463470318163567
84478,259.05698088,-26.54341625,6.33,167.56,7.4508517584459115,5.968011458582,-0.16982354552968218,-0.878329071803041,-0.4468758272824079
117473,357.29977433,2.40357651,8.98,167.51,10.100203693138473,5.969792848188168,0.9980108804477548,-0.04706893797338162,0.04193802076821546
84405,258.83869698,-26.60004896,4.33,167.08,5.444622332965418,5.9851568111084505,-0.1730829531117923,-0.8772419314897854,-0.447759851905206
99461,302.79836763,-36.09738423,5.32,165.24,6.410575931522742,6.051803437424352,0.43768997440169605,-0.6792043922682464,-0.5891594689315998
15510,49.97177014,-43.07154929,4.26,165.02,5.347682913895684,6.0598715307235445,0.469832953557277,0.5593651726674637,-0.6829111211265665
99240,302.17441713,-66.17932101,3.55,163.73,4.620641309117049,6.107616197398155,0.21506305165180703,-0.34185274391585996,-0.9148139621209384
71253,218.57093205,-12.52100145,11.32,163.51,12.387721592688337,6.115833893951439,-0.7632421514903919,-0.6086544845602468,-0.21679745527339092
86961,266.55276344,-32.10277328,10.49,161.77,11.534489927466831,6.181615874389566,-0.050935331715337984,-0.8455634586710704,-0.5314395820253376
86963,266.56028243,-32.10165681,11.39,161.77,12.434489927466831,6.181615874389566,-0.05082498834081598,-0.8455804725476663,-0.531423075342256
45343,138.60112218,52.6879927,7.64,161.59,8.682072404742408,6.188501763723,-0.45469149533819087,0.4008486490987884,0.7953464682657466
99701,303.46980202,-45.16363153,7.97,161.17,9.00642102956099,6.204628652975121,0.3888522547030746,-0.5881649688502999,-0.7091233273766002
116132,352.9659791,19.93741103,10.05,160.06,11.0714140627897,6.2476571285767815,0.932990379612498,-0.11511919507106463,0.3409934346533919
74995,229.86477439,-7.72203834,10.57,159.52,11.584075704837904,6.2688064192577695,-0.6387483429971131,-0.7575922187298204,-0.134367348855555
120005,138.60913008,52.68797118,7.7,159.48,8.713531134951785,6.270378730875344,-0.4547477393069325,0.4007852930978408,0.7953462405969566
84140,258.03174636,45.66984247,9.31,158.17,10.305620573116627,6.322311437061387,-0.14490825692897008,-0.6836020082924714,0.7153250249587997
34603,107.50900471,38.53176545,11.65,157.24,12.632815175740259,6.359704909692191,-0.2353482417782212,0.746020415991177,0.6229484280550448
54298,166.62786165,-53.26885914,11.69,155.28,12.645577611901533,6.439979392065946,-0.5818464802205388,0.1383164215203386,-0.8014507102703061
82809,253.85710273,-8.32039997,11.73,153.96,12.667039512112767,6.495193556767992,-0.2751074160083471,-0.9504606025649831,-0.14470850917972805
114622,348.31143134,57.16763844,5.57,153.24,6.496860716555202,6.525711302531973,0.5309397781773969,-0.10984187366594364,0.8402605040929221
80459,246.35079602,54.30451781,10.13,151.93,11.038217689196744,6.581978542749948,-0.2340536019465246,-0.5344759363957143,0.8121295369765726
53767,165.01886286,22.83364286,10.03,150.96,10.924309435784378,6.624271330153682,-0.8903099679173893,0.23824371351278656,0.38805681800294994
72659,222.84701756,19.10063329,4.54,149.26,5.409717186421885,6.699718611818299,-0.6928074891225948,-0.6426036058427115,0.32722834347530294
106106,322.40081536,17.642376000000002,10.33,148.29,11.185559325902195,6.74354305752242,0.7550339799440865,-0.5814373239729557,0.30307478849445885
114176,346.8313657,-32.26819891,12.28,147.95,13.13057484748326,6.759040216289282,0.82332328648368,-0.1926332835912617,-0.5338831182820456
113296,344.14764241,16.55412209,8.68,145.27,9.490879682650814,6.883733737179044,0.9220961577300067,-0.26183724160478,0.28492092729099155
84709,259.73483426,-34.98957161,5.91,143.45,6.693502762910086,6.971070059254098,-0.1459947781175949,-0.8061430507682017,-0.5734273331997096
103096,313.33245263,62.15627228,8.55,141.95,9.310676984309383,7.044734061289184,0.3205119022954609,-0.3397332309199157,0.8842247747579007
12114,39.01596864,6.88336423,5.79,138.72,6.500695400660676,7.208765859284887,0.7713702738608145,0.6249993733013758,0.11984858771291274
51317,157.23292924,0.84277841,9.65,138.29,10.353953883126511,7.231180851833107,-0.9219859632200618,0.3869438421199104,0.014708727703537221
83945,257.38030802,43.68202643,11.77,137.84,12.466876322199859,7.2547881601857265,-0.1580002224474499,-0.7057129687991295,0.6906555837574001
3765,12.09388786,5.28338873,5.74,134.04,6.37617209581617,7.460459564309162,0.9736513235580446,0.20862412015427684,0.0920819017153842
7981,25.62479083,20.27015091,5.24,133.91,5.874065050207763,7.467702188036744,0.8458061744833203,0.40569248608635733,0.3464469973011194
2021,6.41334183,-77.25503511,2.82,133.78,3.4519559580830728,7.474958887726117,0.21923111947723728,0.024642403640052588,-0.9753617114668783
73182,224.35801834,-21.40746858,8.01,133.63,8.639519842039617,7.483349547257348,-0.6656570645416273,-0.650904775021706,-0.36499814558401006
12781,41.06229453,25.52424901,10.55,132.42,11.159767917726496,7.551729346020237,0.6804081061820294,0.5927697565096627,0.430893054955936
5336,17.05383776,54.92422766,5.17,132.4,5.779439925518408,7.552870090634443,0.5493912517445945,0.16853041052852044,0.8183927866456278
65859,202.49632115,10.37977331,9.05,131.12,9.638344702812216,7.626601586333123,-0.9087845377363309,-0.37636251984805597,0.18017191130968496
113283,344.0992776,-31.56517871,6.48,130.94,7.06536168292989,7.63708568810142,0.8194441494954104,-0.2334359765304977,-0.5234681754595941
61874,190.19549326,-43.56806218,12.24,130.52,12.818385325579188,7.661661048115227,-0.7131150773291248,-0.12825174744127948,-0.689215768656039
113368,344.41177323,-29.62183701,1.17,130.08,1.7410526412499658,7.6875768757687535,0.8373316057292444,-0.23360172667483498,-0.4942732193245158
85295,261.43987888,2.11430212,7.54,129.54,8.102019463589373,7.7196232823838224,-0.1487457824964391,-0.9881870202590585,0.03689315900062227
91262,279.23410832,38.78299311,0.03,128.93,0.5817699133200118,7.756146746296438,0.12508927162005154,-0.7694220043117302,0.6263724558172117
88574,271.28019098,-3.03051102,9.37,128.28,9.910794756282016,7.79544745868412,0.02231044426139031,-0.9983522657293976,-0.052867736757284844
49986,153.07398953,-3.74507182,9.26,127.99,9.795880195330195,7.813110399249942,-0.8896880920471503,0.45187249215513753,-0.06531730018154935
101180,307.6309288,65.44886952,10.54,125.62,11.035293945340273,7.960515841426521,0.25369610960517963,-0.329063505737806,0.9095908383238815
106255,322.82467099,-9.79053173,11.96,124.82,12.441420891224322,8.011536612722317,0.7851857363676168,-0.5954557030352796,-0.1700466557377838
33499,104.44792505,-44.29109677,10.81,124.62,11.287938734593716,8.024394158241053,-0.17859239195729115,0.6931638985916033,-0.6983040650205774
22449,72.45890935,6.96124744,3.19,124.6,3.6675902116157553,8.025682182985548,0.29916795785235256,0.94647217520922,0.121197997298555
80346,246.03466158,48.35400404,10.27,124.34,10.743054315160684,8.042464211034263,-0.26991989855846116,-0.6072383996103243,0.747264862281696
89937,275.25974572,72.73369763,3.55,124.11,4.019033878075874,8.05736846345983,0.027209171158153907,-0.2955635176898083,0.9549355308164592
86287,264.46990247,18.58931915,9.62,123.02,10.069878613438645,8.128759551292474,-0.09134086394591175,-0.943416389963197,0.3187826245616651
5496,17.59293817,-67.44634604,9.8,122.86,10.247052554917722,8.139345596614035,0.36560906636138674,0.11592843279536345,-0.9235207680739865
113576,345.06954949,-22.52448801,7.88,122.8,8.325991834025745,8.14332247557003,0.8925305831944083,-0.23799202640684405,-0.38307826018897684
4856,15.62080367,71.68074123,9.98,122.77,10.425461279213595,8.145312372729498,0.30270242602227,0.08463452494737317,0.9493198820561827
7751,24.94684603,-56.19644067,5.76,122.75,6.205107503975031,8.146639511201629,0.5044397419752604,0.2346546285193023,-0.8309499094592891
38956,119.55222364,41.30537105,12.02,122.53,12.461212167557859,8.16126662858075,-0.37050547148834556,0.6534757310061643,0.6600720904440347
76901,235.5324262,-19.46924527,11.83,121.86,12.259305868942251,8.20613819136714,-0.533579604620107,-0.7773051932201042,-0.33330082827155827
62452,191.98842235,9.75251785,11.39,121.78,11.817879848592515,8.211528986697328,-0.9640533997315044,-0.20471227888270166,0.16939281372236323
93449,285.47364755,-36.95224,11.57,121.75,11.99734484943336,8.2135523613963,0.21320583646278735,-0.7701707833357547,-0.6011490961435383
20968,67.43713116,-29.02636695,11.42,120.7,11.828536350486749,8.285004142502071,0.33550326999767643,0.8074693879264068,-0.4852120602196738
31292,98.44808629,-75.62561416,11.41,119.54,11.797566257488315,8.365400702693655,-0.03647221848739716,0.24556311561812008,-0.9686942415058166
61317,188.43788561,41.35676779,4.24,119.46,4.626112552055266,8.371002846140968,-0.7424848857803126,-0.11014233576757115,0.6607456850100952
86974,266.61549553,27.72249917,3.42,119.05,3.7986469987044935,8.399832003359931,-0.052259671424303024,-0.8836670633040107,0.46518969031384344
80018,245.01688193,-37.53142026,10.56,118.03,10.91996203562088,8.472422265525717,-0.33493269178138363,-0.718818360675365,-0.609196402100388
23452,75.61879215,-21.25610576,8.31,117.38,8.657970525887773,8.519338899301419,0.2314752442273789,0.9027656820330517,-0.3625373562176374
64924,199.60405,-18.30861062,4.74,117.3,5.086490060577646,8.525149190110824,-0.8943463696466651,-0.31853365238671316,-0.31413513556590744
57802,177.78138205,35.27139762,9.76,116.92,10.099444033426996,8.552856654122474,-0.8158139569283221,0.03160589976207432,0.5774501318565816
1599,5.00797581,-64.8776232,4.23,116.38,4.559391764286961,8.592541673827116,0.4229323516965953,0.03706111150790511,-0.9054030593620644
113229,343.94957092,-75.45609056,10.42,116.02,10.742664305657891,8.619203585588684,0.2413328318769776,-0.06943100895977047,-0.9679554737967376
93873,286.77443107,20.88888827,10.77,115.91,11.09060452914811,8.627383314640667,0.26963562645599026,-0.8945187899476525,0.3565568164770843
111802,339.68872796,-20.62094006,9.06,115.71,9.376854467928519,8.642295393656559,0.8777353221159893,-0.3248804781310218,-0.35218372937899795
27913,88.59618305,20.27641498,4.39,115.43,4.701593478293878,8.663259118080221,0.022980628199508114,0.9377501255509962,0.34654955310409336
25578,82.00110606,9.64577431,12.48,115.04,12.784244365194038,8.692628650904032,0.13718669340118997,0.9762707913157506,0.1675564178936934
32984,103.07653738,-5.17370508,6.58,114.94,6.8823559639883936,8.700191404210889,-0.2253306675155209,0.9701002343537328,-0.09017552652378828
14559,46.99144229,-28.22097006,11.72,114.73,12.01838496792378,8.716116098666433,0.6010257595226269,0.6443282475380506,-0.47287328727133016
31293,98.43325369,-75.63066752,10.35,114.18,10.637950193353321,8.758101243650373,-0.03639611640811386,0.24548803540066172,-0.9687161334392704
109388,332.41534076,-4.64068104,10.41,113.97,10.693952741371914,8.77423883478108,0.883421932014834,-0.4615406877334471,-0.08090663509079221
84720,259.76230946,-46.6365001,5.47,113.81,5.750902116710702,8.786574114752653,-0.1220352361759265,-0.6756926948288193,-0.7270122304930322
23311,75.20282168,-5.75097923,6.22,113.46,6.494213896143418,8.813678829543449,0.25411267543504135,0.9619696943523748,-0.1002050663930915
99825,303.8190747,-27.03253576,5.73,113.33,6.001724443838153,8.823788934968675,0.49576592575912637,-0.7400332278342184,-0.4544963900378793
93899,286.80626789,20.87782548,10.76,112.82,11.021930476946874,8.863676653075695,0.27015253122316524,-0.8944347144141623,0.3563764183059431
60559,186.21595803,-18.23667929,11.28,112.52,11.536148617465816,8.887308922858159,-0.9441880521972952,-0.10283773353682184,-0.312943002236649
108706,330.30365718,28.30681743,11.99,111.57,12.227737165393176,8.962982880702695,0.7647892137570956,-0.43616336969288183,0.4741929706975358
27072,86.11656241,-22.44748663,3.59,111.49,3.826179577298406,8.969414297246386,0.06259521455143494,0.9221077598564349,-0.38183650732716373
47103,144.00645894,-21.65839234,10.91,111.41,11.144620871150176,8.975854950183999,-0.7519626467685181,0.5462033380962175,-0.3690719324433031
56528,173.86248684,-32.53790001,9.81,110.65,10.029757091316382,9.037505648441034,-0.8382036992207059,0.09013323637413054,-0.537857377297597
17378,55.81231706,-9.76519868,3.52,110.58,3.7383829280135874,9.043226623259176,0.5537641719991134,0.815216151142219,-0.16961093339464564
55360,170.03762202,65.84603892,9.31,109.95,9.515976168484046,9.0950432014552,-0.4030200396140745,0.07079047620981009,0.9124492074342868
66906,205.68061204,33.29182156,12.03,109.89,12.234790866921037,9.100009100009098,-0.7533200328320419,-0.3622345459789809,0.5489035086728203
82724,253.63222815,-62.40023361,11.85,109.57,12.048458308245133,9.126585744273061,-0.13055664314714158,-0.44451640133473963,-0.8862054682039389
40501,124.03417002,1.30242701,10.08,109.23,10.271709668268032,9.154994049253864,-0.5595426282437298,0.8284898362296722,0.022729681965000546
64394,197.97051117,27.87603769,4.23,109.23,4.421709668268035,9.154994049253864,-0.840837585257079,-0.2727263251438856,0.46756016382125193
57939,178.23256802,37.73280827,6.42,109.21,6.611312035523921,9.156670634557273,-0.7904969800713871,0.024392598976531437,0.6119800042592789
15457,49.83974536,3.36997055,4.84,109.18,5.030715449849713,9.159186664224213,0.6438124710793014,0.7629220408372231,0.0587831752079647
105858,321.61038385,-65.36814438,4.21,108.5,4.387148690922742,9.21658986175115,0.3266795703182595,-0.25882665334162247,-0.9090045224621564
57443,176.63436255,-40.50133452,4.89,108.23,5.061738292234241,9.239582370876834,-0.759079329239454,0.04464078123216019,-0.6494657593533033
23512,75.83426652,-17.3724529,11.71,107.86,11.87430207976072,9.271277582050805,0.23356405842042588,0.9253629759872047,-0.2985819707991156
23932,77.14473389,-18.1686451,10.28,107.3,10.432998609829756,9.319664492078283,0.2113963285388911,0.9263276936918621,-0.31181500313453964
29277,92.58180602,82.11000311,10.48,106.43,10.615320310755227,9.395847035610256,-0.006183505246026103,0.1371322725727786,0.9905334442016067
21932,70.73070762,18.96088078,9.95,106.16,10.079804549281896,9.419743782969098,0.31210246509881023,0.8927583150791384,0.3249225171272435
9724,31.26683543,-17.61420901,10.19,105.94,10.315299842997897,9.439305267132333,0.8146845639922278,0.49469031560216614,-0.30260626702403737
9786,31.45378802,-30.17689282,12.15,105.64,12.269141962674432,9.466111321469144,0.7374523910120013,0.45109365774365806,-0.5026713468401891
86776,265.98314449,43.38007697,10.49,105.39,10.60399702255844,9.488566277635453,-0.05091324379306135,-0.7250281150512571,0.6868348229317508
47425,144.94490302,-41.06842435,10.72,105.34,10.832966570107311,9.493070058857032,-0.6171635368320139,0.43302761331464906,-0.6569598579152445
56452,173.62480364,-32.83334205,5.96,104.84,6.062635061372816,9.538344143456696,-0.835055180630057,0.09330041595224169,-0.5421972682391912
56997,175.26260484,34.20256022,5.31,104.81,5.412013604919392,9.541074324968987,-0.8242299841758832,0.06830565430898501,0.5621203347814814
46655,142.68715327,0.32400295,11.71,103.56,11.785960208814176,9.656237929702584,-0.795324870854065,0.6061570522902961,0.005654888124798594
61629,189.47165252,-52.00155006,10.65,103.54,10.725540803229189,9.658103148541624,-0.6072472200100846,-0.10130950659096599,-0.7880274092087908
82003,251.2765772,33.5082975,8.1,102.35,8.150439234992621,9.770395701025883,-0.2676518450998895,-0.7896801501590421,0.5520577417801669
86057,263.80642798,-48.68197409,10.13,102.3,10.179378168560802,9.775171065493641,-0.07123163879233321,-0.656384231381334,-0.7510564522250602
81300,249.08826456,-2.32383592,5.77,102.27,5.818741279742769,9.778038525471787,-0.35663580355521196,-0.9333631695995773,-0.04054746918808718
72944,223.62112279,16.10135877,10.11,101.91,10.151084007948453,9.812579727210283,-0.6955201548635759,-0.6628240034881584,0.2773374381119096
47780,146.12593185,-45.775088700000005,10.22,101.87,10.260231530791753,9.816432708353783,-0.5790902684591669,0.3887521852384805,-0.7166074235229469
31635,99.29694468,17.56399483,9.63,101.59,9.66425480162136,9.843488532335858,-0.1540197590241739,0.9408572024134757,0.3017708377176685
71898,220.59172751,66.05588609,10.88,101.34,10.908904499773259,9.867771857114661,-0.30818488303133335,-0.264069216427848,0.9139417524143132
84581,259.34773232,-7.87683635,11.09,100.89,11.10924061017149,9.91178511249876,-0.18310390004421578,-0.9734946734647999,-0.13704408970933576
102409,311.28891788,-31.34002411,8.81,100.59,8.822774040742411,9.941346058256288,0.5635804749638869,-0.6417604931829269,-0.5201158694263098
8362,26.9336011,63.85310111,5.63,100.24,5.635205289930469,9.976057462090976,0.3928750765804206,0.1996066914188135,0.897667167129757
85665,262.59462845,5.5491235,9.33,100.17,9.333688368870169,9.983028850953378,-0.12828455044763734,-0.9870118292338554,0.09669913685698618
